join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,time_period,time_value,total_crashes,fatal_crashes,serious_injuries,vehicle_count,traffic_observation_days,average_vehicle_count
271,000271,33.86529,-84.38077,3U,hour,19,1,0,0,525970,365,1441.01
271,000271,33.86529,-84.38077,3U,hour,20,0,0,0,400588,365,1097.5
271,000271,33.86529,-84.38077,3U,hour,21,0,0,0,302541,365,828.88
271,000271,33.86529,-84.38077,3U,hour,22,0,0,0,218347,365,598.21
271,000271,33.86529,-84.38077,3U,hour,23,0,0,0,157225,365,430.75
308,000308,33.8743,-84.44614,1U,hour,0,1,0,0,418489,157,2665.54
308,000308,33.8743,-84.44614,1U,hour,1,0,0,0,276790,157,1762.99
308,000308,33.8743,-84.44614,1U,hour,2,0,0,0,213568,157,1360.31
308,000308,33.8743,-84.44614,1U,hour,3,0,0,0,204078,157,1299.86
308,000308,33.8743,-84.44614,1U,hour,4,0,0,0,264718,157,1686.1
308,000308,33.8743,-84.44614,1U,hour,5,0,0,0,552908,157,3521.71
308,000308,33.8743,-84.44614,1U,hour,6,1,0,0,1037750,157,6609.87
308,000308,33.8743,-84.44614,1U,hour,7,2,0,0,1579149,157,10058.27
308,000308,33.8743,-84.44614,1U,hour,8,1,0,0,1735193,157,11052.18
308,000308,33.8743,-84.44614,1U,hour,9,1,0,0,1556887,157,9916.48
308,000308,33.8743,-84.44614,1U,hour,10,1,0,0,1493373,157,9511.93
308,000308,33.8743,-84.44614,1U,hour,11,1,0,0,1543873,157,9833.59
308,000308,33.8743,-84.44614,1U,hour,12,2,0,0,1610346,157,10256.98
308,000308,33.8743,-84.44614,1U,hour,13,1,0,0,1669976,157,10636.79
308,000308,33.8743,-84.44614,1U,hour,14,1,0,0,1768675,157,11265.45
308,000308,33.8743,-84.44614,1U,hour,15,2,0,0,1879254,157,11969.77
308,000308,33.8743,-84.44614,1U,hour,16,4,0,0,1924165,157,12255.83
308,000308,33.8743,-84.44614,1U,hour,17,3,0,0,1947198,157,12402.54
308,000308,33.8743,-84.44614,1U,hour,18,4,0,0,1715211,157,10924.91
308,000308,33.8743,-84.44614,1U,hour,19,1,0,0,1394729,157,8883.62
308,000308,33.8743,-84.44614,1U,hour,20,0,0,0,1138132,157,7249.25
308,000308,33.8743,-84.44614,1U,hour,21,0,0,0,983864,157,6266.65
308,000308,33.8743,-84.44614,1U,hour,22,2,0,0,866878,157,5521.52
308,000308,33.8743,-84.44614,1U,hour,23,0,0,0,655129,157,4172.8
309,000309,33.67633,-84.39741,1U,hour,0,0,0,0,1093843,344,3179.78
309,000309,33.67633,-84.39741,1U,hour,1,1,0,0,777594,344,2260.45
309,000309,33.67633,-84.39741,1U,hour,2,2,0,1,635001,344,1845.93
309,000309,33.67633,-84.39741,1U,hour,3,2,0,0,655701,344,1906.11
309,000309,33.67633,-84.39741,1U,hour,4,0,0,0,851225,344,2474.49
309,000309,33.67633,-84.39741,1U,hour,5,1,0,0,1645749,344,4784.15
309,000309,33.67633,-84.39741,1U,hour,6,0,0,0,2655655,344,7719.93
309,000309,33.67633,-84.39741,1U,hour,7,3,0,0,3135863,344,9115.88
309,000309,33.67633,-84.39741,1U,hour,8,1,0,0,3008303,344,8745.07
309,000309,33.67633,-84.39741,1U,hour,9,2,0,0,2974984,344,8648.21
309,000309,33.67633,-84.39741,1U,hour,10,1,0,0,3132996,344,9107.55
309,000309,33.67633,-84.39741,1U,hour,11,0,0,0,3243719,344,9429.42
309,000309,33.67633,-84.39741,1U,hour,12,4,0,0,3382829,344,9833.81
309,000309,33.67633,-84.39741,1U,hour,13,1,0,0,3536690,344,10281.08
309,000309,33.67633,-84.39741,1U,hour,14,0,0,0,3746459,344,10890.87
309,000309,33.67633,-84.39741,1U,hour,15,1,0,0,3829791,344,11133.11
309,000309,33.67633,-84.39741,1U,hour,16,0,0,0,3867782,344,11243.55
309,000309,33.67633,-84.39741,1U,hour,17,1,0,0,3794753,344,11031.26
309,000309,33.67633,-84.39741,1U,hour,18,1,0,0,3489802,344,10144.77
309,000309,33.67633,-84.39741,1U,hour,19,3,0,2,3162062,344,9192.04
309,000309,33.67633,-84.39741,1U,hour,20,0,0,0,2754828,344,8008.22
309,000309,33.67633,-84.39741,1U,hour,21,1,0,0,2337459,344,6794.94
309,000309,33.67633,-84.39741,1U,hour,22,3,0,0,2005780,344,5830.76
309,000309,33.67633,-84.39741,1U,hour,23,1,0,0,1570947,344,4566.71
310,000310,33.70881,-84.40227,1U,hour,0,0,0,0,1300716,204,6376.06
310,000310,33.70881,-84.40227,1U,hour,1,0,0,0,903332,204,4428.1
310,000310,33.70881,-84.40227,1U,hour,2,0,0,0,710607,204,3483.37
310,000310,33.70881,-84.40227,1U,hour,3,0,0,0,715879,204,3509.21
310,000310,33.70881,-84.40227,1U,hour,4,0,0,0,976926,204,4788.85
310,000310,33.70881,-84.40227,1U,hour,5,0,0,0,1814407,204,8894.15
310,000310,33.70881,-84.40227,1U,hour,6,5,0,0,2792178,204,13687.15
310,000310,33.70881,-84.40227,1U,hour,7,4,0,0,3137017,204,15377.53
310,000310,33.70881,-84.40227,1U,hour,8,3,0,0,3079954,204,15097.81
310,000310,33.70881,-84.40227,1U,hour,9,4,0,0,3082993,204,15112.71
310,000310,33.70881,-84.40227,1U,hour,10,2,0,0,3232879,204,15847.45
310,000310,33.70881,-84.40227,1U,hour,11,1,0,0,3356472,204,16453.29
310,000310,33.70881,-84.40227,1U,hour,12,2,0,0,3461978,204,16970.48
310,000310,33.70881,-84.40227,1U,hour,13,2,0,0,3547004,204,17387.27
310,000310,33.70881,-84.40227,1U,hour,14,4,0,0,3633351,204,17810.54
310,000310,33.70881,-84.40227,1U,hour,15,1,0,0,3699047,204,18132.58
310,000310,33.70881,-84.40227,1U,hour,16,2,0,0,3711689,204,18194.55
310,000310,33.70881,-84.40227,1U,hour,17,3,0,0,3640150,204,17843.87
310,000310,33.70881,-84.40227,1U,hour,18,1,0,0,3448598,204,16904.89
310,000310,33.70881,-84.40227,1U,hour,19,1,0,0,3270689,204,16032.79
310,000310,33.70881,-84.40227,1U,hour,20,1,0,0,2985593,204,14635.26
310,000310,33.70881,-84.40227,1U,hour,21,0,0,0,2627504,204,12879.92
310,000310,33.70881,-84.40227,1U,hour,22,1,0,0,2331194,204,11427.42
310,000310,33.70881,-84.40227,1U,hour,23,0,0,0,1828009,204,8960.83
313,000313,33.75941,-84.47873,1U,hour,0,0,0,0,857291,298,2876.82
313,000313,33.75941,-84.47873,1U,hour,1,0,0,0,599080,298,2010.34
313,000313,33.75941,-84.47873,1U,hour,2,2,0,0,493788,298,1657.01
313,000313,33.75941,-84.47873,1U,hour,3,2,0,0,500040,298,1677.99
313,000313,33.75941,-84.47873,1U,hour,4,0,0,0,623609,298,2092.65
313,000313,33.75941,-84.47873,1U,hour,5,1,0,0,1193528,298,4005.13
313,000313,33.75941,-84.47873,1U,hour,6,1,0,0,1845851,298,6194.13
313,000313,33.75941,-84.47873,1U,hour,7,1,0,0,2285956,298,7670.99
