Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-04-03,13:00:00,13,2022,4,3,Sunday,33.797945,-84.393268,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,"On Roadway - Managed Lane (HOV, HOT, Reversible)",Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,86.05301586854354
2022-04-03,16:50:00,16,2022,4,3,Sunday,33.764035,-84.492914,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Exit 10B Rp,None and Exit 10B Rp,Rear End,Entrance/Exit Ramp,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)"",""Child Restraint System (Properly Used)"",""Child Restraint System (Properly Used)"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R376,131.8106272654719
2022-04-04,17:30:00,17,2022,4,4,Monday,33.757138,-84.378881,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Courtland Street Northeast,Ellis Street Northeast and Courtland Street Northeast,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,9,181.5169242409837
2022-04-04,04:45:00,4,2022,4,4,Monday,33.795878,-84.392314,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13,Ga-13 and Peachtree Rd,Not a Collision with Motor Vehicle,Median,Dark-Lighted,Clear,Dry,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,Under the Influence (U.I.),R378,97.42311834545345
2022-04-04,11:50:00,11,2022,4,4,Monday,33.758228,-84.378459,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-7585 North,I-7585 North and Freedom Parkway,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,55.763855912108895
2022-04-05,15:40:00,15,2022,4,5,Tuesday,33.760142,-84.37924,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 North,I-7585 North and Freedom Parkway,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,173.72294948066587
2022-04-05,08:08:00,8,2022,4,5,Tuesday,33.763332,-84.492705,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-285 Nb,I-285 Nb and I-20 Wb On-Ramp,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Unknown"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R376,106.02684227455846
2022-04-05,12:30:00,12,2022,4,5,Tuesday,33.874742,-84.44678,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75Nb,Mm257 and I-75Nb,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Driver Lost Control,308,76.89736487458855
2022-04-05,12:53:00,12,2022,4,5,Tuesday,33.79858,-84.392842,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85Sb,Ga-13 and I-85Sb,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,159.3826811731252
2022-04-05,20:55:00,20,2022,4,5,Tuesday,33.794217,-84.391419,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R378,105.99633410582686
2022-04-05,14:50:00,14,2022,4,5,Tuesday,33.873956,-84.44634,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 75 Nb,Mile Marker 257 and Interstate 75 Nb,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,308,42.41886000715087
2022-04-05,12:00:00,12,2022,4,5,Tuesday,33.808159,-84.378535,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-85Nb,Ga-13 and I-85Nb,Not a Collision with Motor Vehicle,Median,Daylight,Rain,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,Driver Lost Control,322,162.86626157379587
2022-04-05,09:50:00,9,2022,4,5,Tuesday,33.759327,-84.379003,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Entrance Ramp To Freedom Parkw,From I-75/85 South and Entrance Ramp To Freedom Parkw,Sideswipe-Same Direction,Entrance/Exit Ramp,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Too Fast for Conditions"",""Driver Lost Control"",""Changed Lanes Improperly""]",9,84.89764240637004
2022-04-06,14:41:00,14,2022,4,6,Wednesday,33.743481,-84.377792,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,77,91.43297935823952
2022-04-06,18:35:00,18,2022,4,6,Wednesday,33.798665,-84.39626,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Water (standing or moving),Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Following Too Close""]",R365,232.37323886747268
2022-04-06,23:43:00,23,2022,4,6,Wednesday,33.764759,-84.492887,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Not a Collision with Motor Vehicle,On Shoulder,Dark-Not Lighted,Rain,Water (standing or moving),Atlanta Police Department,Lap and Shoulder Belt Used,Other Object (Not Fixed),Other Object (Not Fixed),Driver Lost Control,R376,177.01149677680613
2022-04-06,12:30:00,12,2022,4,6,Wednesday,33.807104,-84.380009,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,I-85 and Buford Hwy Conn,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,322,24.96401904897385
2022-04-06,17:17:00,17,2022,4,6,Wednesday,33.743309,-84.380822,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Too Fast for Conditions,77,198.5071317634797
2022-04-06,19:30:00,19,2022,4,6,Wednesday,33.805712,-84.380902,(A) Suspected Serious Injury,0.0,1.0,0.0,Atlanta,FULTON,Ga-13,None and Ga-13,Angle Crash,On Roadway - Non-Intersection,Dusk,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,322,186.97905153353776
2022-04-07,18:36:00,18,2022,4,7,Thursday,33.761732,-84.492677,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-285 Nb,I-20 and I-285 Nb,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Unknown"",""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R376,228.03047835784147
2022-04-07,16:45:00,16,2022,4,7,Thursday,33.743307,-84.379133,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20 Eb,Hill St and I-20 Eb,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,77,45.049681114522045
2022-04-07,03:27:00,3,2022,4,7,Thursday,33.675216,-84.397826,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Wet,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Under the Influence (U.I.),309,129.48434796096925
2022-04-07,18:48:00,18,2022,4,7,Thursday,33.794028,-84.393017,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 South,I-75 North and I-85 South,Not a Collision with Motor Vehicle,Off Roadway,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Unknown""]","[""Other - Fixed Object"",""Other - Fixed Object""]","[""Other - Fixed Object"",""Other - Fixed Object""]",Following Too Close,R378,146.57326818162326
2022-04-07,08:53:00,8,2022,4,7,Thursday,33.808521,-84.378395,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-85 South,Ga-400 and I-85 South,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,201.8155606909156
2022-04-07,17:37:00,17,2022,4,7,Thursday,33.759359,-84.37953,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 South,Freedom Pkwy and I-7585 South,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,123.54337939204866
2022-04-07,16:49:00,16,2022,4,7,Thursday,33.757533,-84.379321,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,John Wesley Dobbs Ave Ne,Bell St Ne and John Wesley Dobbs Ave Ne,Angle Crash,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Turn,9,156.38931971739336
2022-04-07,19:38:00,19,2022,4,7,Thursday,33.760307,-84.378898,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Andrew Young International Blvd Ne,Fort St Ne and Andrew Young International Blvd Ne,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Disregard Other Traffic Control,9,180.2701481901098
2022-04-07,00:01:00,0,2022,4,7,Thursday,33.786226,-84.406805,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,14Th St Nw,14Th St Nw and Hemphill Ave Nw,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Dark-Lighted,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Turn,86,220.04941782433252
2022-04-08,19:03:00,19,2022,4,8,Friday,33.742126,-84.404558,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 Eb,I-20 Eb and Mcdaniel Street,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,204.60924808840477
2022-04-08,11:00:00,11,2022,4,8,Friday,33.786215,-84.404236,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,14Th St Nw,14Th St Nw and Francis St Nw,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,None Used,Other Non-Collision,Utility Pole,Changed Lanes Improperly,86,18.049924358763803
2022-04-08,14:20:00,14,2022,4,8,Friday,33.797503,-84.39561,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 S,I-75 S and Deering Rd,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,140.28888447579882
2022-04-08,09:00:00,9,2022,4,8,Friday,33.806571,-84.380682,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85N,Sr-13 and I-85N,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,104.54136313075472
2022-04-09,01:15:00,1,2022,4,9,Saturday,33.798219,-84.392348,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Ga-13,None and Ga-13,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Under the Influence (U.I.)""]",R365,176.2263330929136
2022-04-09,14:23:00,14,2022,4,9,Saturday,33.743922,-84.379171,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hill St Se Exit 58B Rp,None and Hill St Se Exit 58B Rp,Angle Crash,Entrance/Exit Ramp,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,77,97.55073602276386
2022-04-10,00:00:00,0,2022,4,10,Sunday,33.764735,-84.493231,(A) Suspected Serious Injury,0.0,1.0,0.0,Atlanta,FULTON,I-20,None and I-20,Angle Crash,On Roadway - Non-Intersection,Dark-Not Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Changed Lanes Improperly""]",R376,198.14817516748707
2022-04-10,12:30:00,12,2022,4,10,Sunday,33.67545,-84.397849,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Not a Collision with Motor Vehicle,"On Roadway - Managed Lane (HOV, HOT, Reversible)",Daylight,Clear,Dry,Atlanta Police Department,Unknown,Motor Vehicle in Motion,Motor Vehicle in Motion,Other Interior Distraction (Distracted),309,105.78977383517837
2022-04-10,21:13:00,21,2022,4,10,Sunday,33.759385,-84.378344,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Ellis St,Ellis St and Fort St Ne,Angle Crash,On Roadway - Roadway Intersection,Dark-Not Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,9,73.11078710435534
2022-04-10,13:00:00,13,2022,4,10,Sunday,33.764829,-84.493436,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Angle Crash,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)"",""Child Restraint System (Properly Used)"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R376,219.42441060325837
2022-04-10,21:13:00,21,2022,4,10,Sunday,33.759385,-84.378344,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Fort St Ne,Ellis Stne and Fort St Ne,Angle Crash,On Roadway - Roadway Intersection,Dark-Not Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,9,73.11078710435534
2022-04-11,11:00:00,11,2022,4,11,Monday,33.758697,-84.37986,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Ellis St Ne,I-75 S and Ellis St Ne,Angle Crash,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Disregard Stop Sign/Signal,9,132.57642608784153
2022-04-11,11:40:00,11,2022,4,11,Monday,33.742468,-84.403843,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20Eb,I-20Eb and Metropolitan Pky,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,128.63799691026492
2022-04-11,18:49:00,18,2022,4,11,Monday,33.79507,-84.393194,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 Northsouth,I-85 Northsouth and 17Th St Overpass,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Other Non-Collision"",""Other Non-Collision""]","[""Other Non-Collision"",""Other Non-Collision""]",,R378,110.65692236869263
2022-04-12,18:00:00,18,2022,4,12,Tuesday,33.742967,-84.379331,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hill St Se,Hill St Se and Glenwood Dr Se,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""None Used"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Misjudged Clearance"",""Misjudged Clearance""]",77,62.43943434765091
2022-04-12,13:00:00,13,2022,4,12,Tuesday,33.742618,-84.380395,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Glenwood Dr Se,Fulton Street and Glenwood Dr Se,Angle Crash,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""None Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Reckless Driving"",""Disregard Police - Evasion""]",77,168.3191575476091
2022-04-12,17:10:00,17,2022,4,12,Tuesday,33.798531,-84.396188,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75Sb,I-75Sb and Northside Drive,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,219.2720559942589
2022-04-12,08:22:00,8,2022,4,12,Tuesday,33.798671,-84.393682,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Deering Rd Nw,Deering Rd Nw and Standish Ave Nw,Angle Crash,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,R365,124.98093162399697
2022-04-12,13:05:00,13,2022,4,12,Tuesday,33.80615,-84.381664,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-85 South,Ga-400 and I-85 South,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Too Fast for Conditions"",""Following Too Close""]",322,206.4850459345987
2022-04-13,21:28:00,21,2022,4,13,Wednesday,33.741631,-84.402863,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Fulton St Sw,Fulton St Sw and Mcdaniel St Sw,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,144.66087684231763
2022-04-13,16:00:00,16,2022,4,13,Wednesday,33.80626,-84.379829,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Ga-13,None and Ga-13,Rear End,Entrance/Exit Ramp,Daylight,Cloudy,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,92.46085067407768
2022-04-13,09:42:00,9,2022,4,13,Wednesday,33.798437,-84.392615,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,I-85 and Peachtree St Ne,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R365,165.97299426965446
2022-04-13,19:00:00,19,2022,4,13,Wednesday,33.758759,-84.37921,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,I-75 and I-75 S,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,9,72.3583950347557
