Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-01-03,01:00:00,1,2022,1,3,Monday,33.743255,-84.402193,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Median Barrier,Changed Lanes Improperly,315,51.20989085711707
2022-01-03,14:00:00,14,2022,1,3,Monday,33.764167,-84.492793,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Donald Lee Hollowell Pkwy Nw,Harwell Rd Nw and Donald Lee Hollowell Pkwy Nw,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,R376,128.30574067796442
2022-01-03,14:00:00,14,2022,1,3,Monday,33.79678,-84.395155,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-75Sb,I-75Sb and Deering Rd,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Disregard Other Traffic Control""]",R356,82.9625639871835
2022-01-03,14:00:00,14,2022,1,3,Monday,33.797143,-84.395388,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 75 Southbound,Deering Road and Interstate 75 Southbound,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,122.47620829998708
2022-01-04,18:00:00,18,2022,1,4,Tuesday,33.806382,-84.379532,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 S,Ga-13 S and Armour Dr,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,80.88407715094134
2022-01-04,15:16:00,15,2022,1,4,Tuesday,33.742266,-84.404771,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 20 West,Interstate 20 West and Lee Street Overpass,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,315,217.04009490173107
2022-01-04,10:20:00,10,2022,1,4,Tuesday,33.796761,-84.393373,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85Nb,I-85Nb and 17Th St,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,95.21821273596365
2022-01-04,08:30:00,8,2022,1,4,Tuesday,33.796696,-84.395101,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R356,74.82134465910039
2022-01-05,06:49:00,6,2022,1,5,Wednesday,33.807141,-84.37996,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,I-85 and Buford Hwy Conn,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,21.148220316702798
2022-01-05,18:39:00,18,2022,1,5,Wednesday,33.74349,-84.379816,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,77,111.36166069889786
2022-01-05,15:33:00,15,2022,1,5,Wednesday,33.757792,-84.378881,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,I-75 and John Wesley Dobbs Ave Ne,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,112.15437685105624
2022-01-06,07:30:00,7,2022,1,6,Thursday,33.796093,-84.393258,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 85 Northbound,17Th Street and Interstate 85 Northbound,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dawn,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,108.6084964255245
