Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"077-0636",3U : Urban Principal Arterial - Other,33.399395,-84.786384,2025,29500,Estimated,1465,738,0.285,0.089,0.0949,0.58,40800,Short Term
"077-0638",3U : Urban Principal Arterial - Other,33.400309,-84.768941,2025,30900,Actual,1452,712,0.347,0.113,0.0912,0.53,39100,Short Term
"077-0640",3U : Urban Principal Arterial - Other,33.391346,-84.843000,2025,9240,Actual,922,161,0.747,0.065,0.0863,0.69,14800,Short Term
"077-0642",3U : Urban Principal Arterial - Other,33.398391,-84.815448,2025,16800,Estimated,1208,692,0.612,0.18,0.0973,0.66,23300,Short Term
"077-0644",3U : Urban Principal Arterial - Other,33.401247,-84.800990,2025,29100,Actual,1757,819,0.402,0.095,0.0827,0.59,40500,Short Term
"077-0646",5U : Urban Major Collector,33.438979,-84.760895,2025,3310,Estimated,,,,,0.1361,0.64,4170,Short Term
"077-0647",4U : Urban Minor Arterial,33.431641,-84.645745,2025,6980,Estimated,,,,,0.1114,0.6,8800,Short Term
"077-0648",4U : Urban Minor Arterial,33.463924,-84.662820,2025,8380,Estimated,,,,,0.1217,0.67,12800,Short Term
"077-0650",5U : Urban Major Collector,33.390222,-84.816683,2025,7050,Actual,420,42,0.723,0.028,0.0914,0.5,8880,Short Term
"077-0652",5R : Rural Major Collector,33.463703,-84.895126,2025,710,Estimated,,,,,0.0894,0.61,900,Short Term
"077-0654",5U : Urban Major Collector,33.390279,-84.735273,2025,8480,Estimated,,,,,0.1031,0.54,10700,Short Term
"077-0656",5U : Urban Major Collector,33.366602,-84.779447,2025,8550,Estimated,,,,,0.0919,0.53,11900,Short Term
"077-7001",5U : Urban Major Collector,33.436911,-84.754120,2025,4780,Estimated,,,,,0.112,0.68,6020,Short Term
"077-7002",5U : Urban Major Collector,33.438157,-84.769103,2025,4580,Estimated,,,,,0.1116,0.68,5770,Short Term
"077-7003",5U : Urban Major Collector,33.380395,-84.849178,2025,670,Estimated,,,,,0.127,0.52,1110,Short Term
"077-7004",4U : Urban Minor Arterial,33.382416,-84.814321,2025,2540,Estimated,,,,,0.1081,0.7,3200,Short Term
"077-7005",5U : Urban Major Collector,33.352106,-84.789284,2025,1760,Estimated,299,131,1.092,0.46,0.0971,0.68,2220,Short Term
"077-7143",6U : Urban Minor Collector,33.449952,-84.636398,2025,1370,Estimated,63,11,0.243,0,0.1182,0.55,1730,Short Term
