Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3R : Rural Principal Arterial - Other,31.715363,-82.381788,2025,4940,Actual,464,545,0.668,0.527,0.0859,0.54,7840,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2025,13000,Estimated,592,586,0.481,0.209,0.1064,0.52,22200,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2025,14900,Estimated,810,673,0.426,0.291,0.0896,0.51,20600,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2025,13100,Actual,804,684,0.55,0.344,0.0948,0.51,16500,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786268,-82.350172,2025,9710,Estimated,647,377,0.479,0.219,0.0963,0.61,12200,Short Term
"001-0114",3R : Rural Principal Arterial - Other,31.836979,-82.350421,2025,7090,Estimated,758,770,1.269,0.542,0.1001,0.54,8930,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2025,6320,Estimated,420,698,0.391,0.697,0.0832,0.52,7960,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2025,2410,Actual,239,413,0.582,0.748,0.0802,0.59,3040,Short Term
"001-0123",4R : Rural Minor Arterial,31.619641,-82.256294,2025,1820,Estimated,206,261,0.744,0.744,0.1188,0.57,2290,Short Term
"001-0125",4R : Rural Minor Arterial,31.681809,-82.302278,2025,2780,Estimated,281,356,0.492,0.861,0.1031,0.62,4120,Short Term
"001-0127",4R : Rural Minor Arterial,31.715192,-82.333471,2025,3490,Estimated,361,313,0.696,0.435,0.1105,0.7,4400,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2025,6610,Actual,365,246,1.029,0.257,0.1535,0.56,8330,Short Term
"001-0132",4U : Urban Minor Arterial,31.762393,-82.354255,2025,7750,Estimated,477,282,0.678,0.144,0.1472,0.52,9770,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2025,2080,Estimated,183,368,1.074,0.972,0.0905,0.54,2620,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2025,2410,Actual,273,500,0.911,1.077,0.0708,0.54,3290,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2025,7960,Actual,505,1277,0.359,0.718,0.0746,0.54,12000,Short Term
"001-0138",3R : Rural Principal Arterial - Other,31.811259,-82.442870,2025,9250,Actual,554,1541,0.476,0.688,0.0789,0.57,13300,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2025,15300,Estimated,875,1092,0.436,0.251,0.0955,0.54,23100,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2025,11200,Estimated,686,761,0.648,0.45,0.0961,0.52,14100,Short Term
"001-0145",3R : Rural Principal Arterial - Other,31.745106,-82.253012,2025,5070,Estimated,407,1128,0.598,1.515,0.0889,0.53,8930,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2025,6390,Actual,345,1640,0.3,0.994,0.0709,0.56,10200,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2025,1030,Estimated,119,119,0.494,0.296,0.0809,0.57,1300,Short Term
"001-0158",5R : Rural Major Collector,31.589297,-82.218167,2025,1330,Actual,79,201,0.526,1.682,0.0994,0.6,1680,Short Term
"001-0161",5R : Rural Major Collector,31.590907,-82.179125,2025,1180,Estimated,110,124,0.598,0.94,0.0838,0.53,1490,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208539,2025,960,Actual,105,250,1.239,1.363,0.0779,0.56,1210,Short Term
"001-0165",4R : Rural Minor Arterial,31.659808,-82.207844,2025,1570,Actual,112,329,0.493,1.888,0.0788,0.67,1980,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196416,2025,1620,Estimated,163,386,0.823,1.772,0.0854,0.57,2040,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2025,1360,Actual,119,280,0.996,1.328,0.0833,0.56,2470,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2025,3960,Estimated,390,843,1.062,1.322,0.0837,0.53,6600,Short Term
"001-0174",5U : Urban Major Collector,31.784200,-82.345930,2025,3580,Estimated,,,,,0.0943,0.59,4740,Short Term
"001-0176",5R : Rural Major Collector,31.788694,-82.328623,2025,3220,Actual,222,354,,,0.0924,0.54,6180,Short Term
"001-0178",4R : Rural Minor Arterial,31.795076,-82.280414,2025,3290,Actual,311,404,0.67,0.639,0.0731,0.64,7040,Short Term
"001-0181",4R : Rural Minor Arterial,31.837396,-82.132140,2025,2420,Actual,230,389,0.745,0.828,0.0783,0.55,3050,Short Term
"001-0183",4R : Rural Minor Arterial,31.831560,-82.086470,2025,1180,Actual,37,142,0,0.593,0.1126,0.5,1810,CCS
"001-0185",5R : Rural Major Collector,31.602850,-82.308160,2025,390,Actual,13,26,0.773,2.32,0.1314,0.51,490,CCS
"001-0187",5R : Rural Major Collector,31.683151,-82.332266,2025,680,Estimated,59,13,0.45,0.6,0.1139,0.67,860,Short Term
"001-0189",5R : Rural Major Collector,31.715164,-82.359191,2025,1010,Actual,75,35,1.085,0,0.1351,0.58,1520,Short Term
"001-0194",5R : Rural Major Collector,31.759517,-82.369744,2025,2020,Estimated,71,44,0.201,0.05,0.1717,0.53,2550,Short Term
"001-0196",5U : Urban Major Collector,31.769117,-82.356611,2025,2220,Estimated,,,,,0.1161,0.5,6660,Short Term
"001-0198",5R : Rural Major Collector,31.733840,-82.520498,2025,440,Estimated,31,21,,,0.1329,0.64,660,Short Term
"001-0201",5R : Rural Major Collector,31.765595,-82.517033,2025,330,Estimated,,,,,0.0942,0.52,500,Short Term
"001-0203",5R : Rural Major Collector,31.820531,-82.507151,2025,630,Actual,82,28,1.301,0.186,0.1067,0.52,890,Short Term
"001-0205",5R : Rural Major Collector,31.747649,-82.533079,2025,1170,Actual,123,117,1.028,0.343,0.0985,0.59,1920,Short Term
"001-0207",5R : Rural Major Collector,31.749789,-82.489680,2025,870,Estimated,,,,,0.1103,0.61,1430,Short Term
"001-0209",5R : Rural Major Collector,31.770285,-82.419928,2025,1320,Estimated,143,34,0.615,0.077,0.1077,0.56,1890,Short Term
"001-0212",5U : Urban Major Collector,31.777539,-82.355672,2025,3740,Actual,,,,,0.1191,0.59,5080,Short Term
"001-0214",5R : Rural Major Collector,31.867804,-82.400627,2025,700,Estimated,,,,,0.1235,0.53,880,Short Term
"001-0216",5R : Rural Major Collector,31.872260,-82.315478,2025,830,Actual,,,,,0.0987,0.57,1090,Short Term
"001-0218",5R : Rural Major Collector,31.810851,-82.308793,2025,1260,Estimated,71,31,0.631,0.451,0.1009,0.71,1590,Short Term
"001-0221",5R : Rural Major Collector,31.879089,-82.189855,2025,820,Actual,62,29,0.158,0.473,0.0984,0.69,1030,Short Term
"001-0223",5R : Rural Major Collector,31.544223,-82.175085,2025,440,Estimated,,,,,0.0891,0.54,890,Short Term
"001-0225",5R : Rural Major Collector,31.509902,-82.144589,2025,290,Estimated,37,49,1.064,1.418,0.117,0.52,370,Short Term
"001-0229",6R : Rural Minor Collector,31.851476,-82.405537,2025,680,Actual,,,,,0.1092,0.65,860,Short Term
"001-0232",6R : Rural Minor Collector,31.646052,-82.243373,2025,300,Actual,29,26,1.678,2.349,0.1107,0.55,400,Short Term
"001-0234",6R : Rural Minor Collector,31.748296,-82.360228,2025,1360,Estimated,184,23,2.307,0.074,0.1525,0.6,2540,Short Term
"001-0236",6R : Rural Minor Collector,31.752780,-82.373033,2025,450,Estimated,33,12,0.673,0.224,0.1547,0.59,570,Short Term
"001-0238",5U : Urban Major Collector,31.767853,-82.345218,2025,890,Estimated,32,2,0.228,0,0.1073,0.53,1120,Short Term
"001-0241",5U : Urban Major Collector,31.750177,-82.347202,2025,890,Estimated,,,,,0.114,0.68,1450,Short Term
"001-7001",5R : Rural Major Collector,31.711624,-82.520001,2025,600,Actual,,,,,0.0922,0.53,870,Short Term
"001-8005",6R : Rural Minor Collector,31.725880,-82.517320,2025,270,Estimated,,,,,0.1236,0.8,360,Short Term
"001-8011",7R : Rural Local,31.697442,-82.368818,2025,270,Actual,22,7,1.305,0,0.1066,0.63,340,Short Term
"001-8027",6R : Rural Minor Collector,31.803200,-82.156700,2025,90,Estimated,,,,,,,110,Short Term
"001-8031",7R : Rural Local,31.891501,-82.181727,2025,120,Estimated,8,5,0,0,0.1157,0.57,150,Short Term
"001-8045",7R : Rural Local,31.800747,-82.490284,2025,230,Estimated,10,3,0,0,0.1454,0.55,290,Short Term
"001-8046",6R : Rural Minor Collector,31.725088,-82.502729,2025,350,Estimated,19,18,0.053,0.05,0.1181,0.57,440,Short Term
"001-8047",6R : Rural Minor Collector,31.756368,-82.380572,2025,1460,Estimated,107,37,1.481,0.156,0.1045,0.57,1840,Short Term
"001-8048",6R : Rural Minor Collector,31.733697,-82.414303,2025,920,Actual,81,27,0.435,0.543,0.1087,0.66,1160,Short Term
"001-8049",6R : Rural Minor Collector,31.720943,-82.457403,2025,660,Estimated,69,33,1.389,0.617,0.1127,0.56,850,Short Term
"001-8050",6R : Rural Minor Collector,31.787063,-82.388107,2025,250,Estimated,13,4,0.405,0,0.1619,0.55,750,Short Term
"001-8052",6R : Rural Minor Collector,31.672191,-82.314332,2025,70,Actual,3,3,1.493,0,0.1791,0.83,90,Short Term
"001-8056",7R : Rural Local,31.754099,-82.318883,2025,60,Estimated,2,0,1.724,0,0.1897,0.55,80,Short Term
"001-8060",7R : Rural Local,31.848049,-82.187776,2025,30,Estimated,,,,,,,40,Short Term
"001-8061",7R : Rural Local,31.829456,-82.198826,2025,180,Actual,7,11,0,0,0.1316,0.56,240,Short Term
"001-8062",7R : Rural Local,31.855636,-82.197006,2025,130,Estimated,12,2,1.633,0,0.1796,0.55,210,Short Term
"001-8063",6R : Rural Minor Collector,31.861420,-82.335041,2025,430,Estimated,27,13,1.405,0,0.1124,0.5,760,Short Term
"001-8064",6R : Rural Minor Collector,31.734077,-82.302127,2025,340,Estimated,25,5,0.588,0,0.1412,0.63,430,Short Term
"001-8065",6R : Rural Minor Collector,31.704023,-82.277612,2025,390,Estimated,16,71,,,0.0996,1,490,Short Term
"001-8066",6R : Rural Minor Collector,31.693335,-82.447194,2025,150,Estimated,14,10,0.671,1.342,0.1477,0.77,190,Short Term
"001-8067",6R : Rural Minor Collector,31.838027,-82.326396,2025,890,Estimated,50,78,0,1.341,0.1091,0.74,1440,Short Term
"001-8068",6R : Rural Minor Collector,31.869364,-82.308040,2025,500,Actual,16,8,0,0,0.1062,0.66,680,Short Term
"003-0101",4R : Rural Minor Arterial,31.202334,-82.914020,2025,2340,Estimated,166,396,0.657,0.92,0.0925,0.5,3810,Short Term
"003-0105",4R : Rural Minor Arterial,31.255680,-82.870121,2025,2740,Estimated,229,484,0.861,1.235,0.0966,0.54,4520,Short Term
"003-0107",3R : Rural Principal Arterial - Other,31.273332,-82.860212,2025,5100,Estimated,300,500,0.354,0.5,0.0963,0.53,9310,Short Term
"003-0109",3R : Rural Principal Arterial - Other,31.295026,-82.853249,2025,6000,Estimated,506,542,0.547,0.188,0.1022,0.55,7730,Short Term
"003-0112",3R : Rural Principal Arterial - Other,31.311355,-82.848442,2025,8000,Estimated,478,530,0.784,0.319,0.1163,0.59,11500,Short Term
"003-0114",3R : Rural Principal Arterial - Other,31.356018,-82.841099,2025,6620,Estimated,406,629,0.481,0.465,0.091,0.58,8780,Short Term
"003-0118",3R : Rural Principal Arterial - Other,31.349287,-83.073825,2025,4540,Estimated,305,1361,0.429,1.625,0.0761,0.52,5720,Short Term
"003-0121",3R : Rural Principal Arterial - Other,31.341395,-83.048900,2025,5470,Estimated,375,1097,0.488,0.9,0.0838,0.62,6890,Short Term
"003-0123",3R : Rural Principal Arterial - Other,31.339228,-83.041642,2025,8200,Estimated,599,1221,0.55,0.725,0.0782,0.65,10300,Short Term
"003-0125",3R : Rural Principal Arterial - Other,31.320774,-82.977653,2025,4610,Estimated,378,1206,0.42,1.562,0.0886,0.57,5810,Short Term
"003-0132",3R : Rural Principal Arterial - Other,31.307110,-82.901540,2025,5070,Actual,217,997,0.395,1.461,0.1022,0.52,6390,CCS
"003-0134",3R : Rural Principal Arterial - Other,31.299577,-82.862391,2025,5820,Estimated,492,1085,0.694,0.913,0.0908,0.55,7400,Short Term
"003-0136",3R : Rural Principal Arterial - Other,31.297190,-82.847907,2025,5630,Estimated,433,1082,0.516,1.222,0.0676,0.51,8440,Short Term
"003-0138",3R : Rural Principal Arterial - Other,31.295450,-82.837710,2025,4670,Actual,286,1038,0.556,1.562,0.1003,0.58,5880,CCS
"003-0141",3R : Rural Principal Arterial - Other,31.281753,-82.763241,2025,5110,Actual,354,1365,0.393,1.571,0.0659,0.56,6470,Short Term
"003-0143",3R : Rural Principal Arterial - Other,31.272668,-82.708110,2025,4440,Estimated,296,1083,0.435,1.21,0.0888,0.53,5590,Short Term
"003-0145",5R : Rural Major Collector,31.201093,-82.928882,2025,180,Estimated,19,25,1.724,1.724,0.1552,0.63,340,Short Term
"003-0147",5R : Rural Major Collector,31.303669,-82.842495,2025,1080,Estimated,77,83,0.752,0.094,0.0959,0.59,1360,Short Term
"003-0152",5R : Rural Major Collector,31.348075,-82.765025,2025,1080,Actual,77,67,0.863,0.54,0.1128,0.55,1600,Short Term
"003-0154",3R : Rural Principal Arterial - Other,31.240779,-82.858338,2025,1480,Estimated,148,172,0.346,0.9,0.0983,0.62,1930,Short Term
"003-0158",5R : Rural Major Collector,31.343127,-83.047374,2025,1000,Estimated,93,99,0.303,0.202,0.1082,0.62,1440,Short Term
"003-0161",5R : Rural Major Collector,31.361063,-83.064522,2025,570,Actual,65,85,1.051,0.525,0.1156,0.53,720,Short Term
"003-0165",4R : Rural Minor Arterial,31.312787,-83.046642,2025,2310,Actual,242,338,0.952,1.385,0.0987,0.52,3340,Short Term
"003-0167",4R : Rural Minor Arterial,31.338330,-83.047723,2025,3520,Estimated,272,424,0.524,0.582,0.085,0.51,4440,Short Term
"003-0169",4R : Rural Minor Arterial,31.341867,-83.029521,2025,3350,Actual,376,438,1.254,0.806,0.0863,0.57,4440,Short Term
"003-0176",5R : Rural Major Collector,31.356321,-83.050827,2025,620,Actual,,,,,0.0983,0.67,780,Short Term
"003-0181",5R : Rural Major Collector,31.302398,-82.853356,2025,1480,Estimated,,,,,0.1602,0.56,2480,Short Term
"003-0183",5R : Rural Major Collector,31.356508,-82.883646,2025,660,Estimated,,,,,0.0947,0.56,1470,Short Term
"003-0189",5R : Rural Major Collector,31.362960,-82.709200,2025,440,Actual,44,47,0.901,0.225,0.1104,0.51,610,Short Term
"003-0194",5R : Rural Major Collector,31.315896,-82.691625,2025,270,Estimated,26,8,1.132,0,0.1245,0.7,340,Short Term
"003-0196",5R : Rural Major Collector,31.266105,-82.729112,2025,210,Estimated,13,8,1.456,0,0.1408,0.52,270,Short Term
"003-0198",7R : Rural Local,31.276056,-82.734379,2025,300,Estimated,23,7,1.342,0.336,0.1074,0.56,380,Short Term
"003-0201",5R : Rural Major Collector,31.283739,-82.735433,2025,480,Estimated,25,15,0.418,0.209,0.119,0.67,710,Short Term
"003-0203",6R : Rural Minor Collector,31.231020,-82.788915,2025,260,Estimated,,,,,0.1013,0.54,330,Short Term
"003-0205",6R : Rural Minor Collector,31.296027,-82.849538,2025,1790,Estimated,121,47,0.906,0.113,0.0934,0.61,2430,Short Term
"003-0207",6R : Rural Minor Collector,31.294422,-82.858059,2025,380,Actual,48,13,1.6,0.533,0.096,0.58,630,Short Term
"003-8011",7R : Rural Local,31.365866,-82.993574,2025,120,Estimated,11,4,4.098,0.82,0.1148,0.57,150,Short Term
"003-8019",7R : Rural Local,31.305586,-82.848900,2025,870,Estimated,,,,,0.1106,0.62,1100,Short Term
"003-8020",7R : Rural Local,31.261191,-82.843619,2025,240,Estimated,41,9,1.105,0,0.145,0.51,330,Short Term
"003-8021",6R : Rural Minor Collector,31.311773,-83.031687,2025,190,Estimated,20,0,,,0.0976,1,240,Short Term
"003-8022",7R : Rural Local,31.346860,-82.983861,2025,160,Estimated,10,5,0.057,0.028,0.1454,0.68,280,Short Term
"003-8023",6R : Rural Minor Collector,31.343707,-82.947219,2025,140,Estimated,16,4,,,0.152,1,180,Short Term
"003-8024",6R : Rural Minor Collector,31.362198,-82.943670,2025,290,Estimated,32,3,0.704,0,0.0986,0.61,480,Short Term
"003-8025",6R : Rural Minor Collector,31.391741,-82.932916,2025,370,Estimated,26,9,1.347,0,0.1148,0.58,830,Short Term
"003-8026",7R : Rural Local,31.343800,-83.038678,2025,610,Estimated,55,148,,,0.1188,0.55,910,Short Term
"003-8027",7R : Rural Local,31.380193,-83.040235,2025,410,Estimated,43,9,,,0.1226,0.55,520,Short Term
"003-8028",7R : Rural Local,31.263540,-82.780405,2025,260,Estimated,21,13,,,0.1115,0.5,400,Short Term
"003-8029",7R : Rural Local,31.364461,-82.864595,2025,50,Estimated,0,2,0,0,0.1833,0.56,90,Short Term
"003-8030",7R : Rural Local,31.256839,-82.801681,2025,30,Estimated,5,1,,,0.323,0.5,40,Short Term
"003-8031",7R : Rural Local,31.234465,-82.967220,2025,90,Estimated,18,0,,,0.1473,0.71,160,Short Term
"003-8034",7R : Rural Local,31.347391,-82.732209,2025,90,Estimated,6,0,2.439,0,0.1342,0.8,170,Short Term
"003-8035",7R : Rural Local,31.393085,-82.865659,2025,90,Estimated,12,2,1.087,1.087,0.2065,0.74,150,Short Term
"003-8036",6R : Rural Minor Collector,31.335748,-82.830526,2025,700,Actual,49,19,0.069,0.026,0.1099,0.79,1400,Short Term
"003-8037",7R : Rural Local,31.318325,-82.908633,2025,340,Estimated,27,28,0.299,1.194,0.1284,0.56,430,Short Term
"003-8038",7R : Rural Local,31.341866,-82.909355,2025,300,Estimated,29,2,,,0.11,0.5,380,Short Term
"003-8039",7R : Rural Local,31.362782,-82.897576,2025,270,Estimated,32,3,0.114,0.01,0.1118,0.8,440,Short Term
"005-0101",3R : Rural Principal Arterial - Other,31.444518,-82.433743,2025,4680,Estimated,352,668,0.394,0.744,0.0878,0.51,5900,Short Term
"005-0105",3R : Rural Principal Arterial - Other,31.483352,-82.452706,2025,5640,Estimated,457,687,0.611,0.815,0.0969,0.5,7110,Short Term
"005-0109",3R : Rural Principal Arterial - Other,31.524590,-82.462730,2025,7090,Estimated,511,666,0.478,0.492,0.0855,0.5,8930,Short Term
"005-0112",3R : Rural Principal Arterial - Other,31.536617,-82.463274,2025,10100,Actual,930,521,0.781,0.264,0.0766,0.53,15500,Short Term
"005-0114",3R : Rural Principal Arterial - Other,31.540948,-82.462379,2025,10400,Estimated,614,750,0.682,0.386,0.0942,0.5,13100,Short Term
"005-0116",3R : Rural Principal Arterial - Other,31.544415,-82.461681,2025,8220,Estimated,516,811,0.674,0.674,0.1071,0.55,10700,Short Term
"005-0118",3R : Rural Principal Arterial - Other,31.553019,-82.465263,2025,7040,Estimated,468,836,0.772,0.86,0.1088,0.51,8870,Short Term
"005-0120",3R : Rural Principal Arterial - Other,31.559585,-82.467021,2025,7050,Estimated,477,799,1.033,0.902,0.0922,0.54,8880,Short Term
"005-0123",3R : Rural Principal Arterial - Other,31.578576,-82.461771,2025,6860,Estimated,516,831,0.523,0.732,0.0918,0.62,9230,Short Term
"005-0125",3R : Rural Principal Arterial - Other,31.608610,-82.461860,2025,5970,Actual,317,873,0.435,1.44,0.0976,0.52,7630,CCS
"005-0127",4R : Rural Minor Arterial,31.641151,-82.469024,2025,2320,Estimated,162,343,0.751,0.663,0.0985,0.57,2920,Short Term
"005-0129",4R : Rural Minor Arterial,31.689483,-82.504138,2025,1880,Estimated,153,369,0.926,1.089,0.1002,0.59,2370,Short Term
"005-0134",5R : Rural Major Collector,31.489974,-82.547536,2025,360,Estimated,32,3,0.563,0,0.1239,0.66,450,Short Term
"005-0136",5R : Rural Major Collector,31.518627,-82.491043,2025,1260,Estimated,72,15,0.6,0.172,0.1016,0.73,1590,Short Term
"005-0138",5R : Rural Major Collector,31.538201,-82.469453,2025,1530,Estimated,,,,,0.0948,0.54,1930,Short Term
"005-0141",5R : Rural Major Collector,31.541280,-82.468858,2025,2510,Actual,170,26,0.358,0,0.088,0.52,3160,Short Term
"005-0143",4R : Rural Minor Arterial,31.541002,-82.564691,2025,4980,Estimated,345,631,0.597,0.453,0.0863,0.52,6280,Short Term
"005-0145",4R : Rural Minor Arterial,31.544371,-82.524194,2025,6700,Estimated,573,535,0.796,0.413,0.0963,0.56,9330,Short Term
"005-0147",4R : Rural Minor Arterial,31.543063,-82.480784,2025,8710,Estimated,788,601,0.954,0.412,0.0942,0.6,11000,Short Term
"005-0149",5R : Rural Major Collector,31.541479,-82.463410,2025,2410,Estimated,118,17,0.503,0.084,0.1123,0.59,3490,Short Term
"005-0152",4R : Rural Minor Arterial,31.540735,-82.473126,2025,6750,Estimated,514,580,0.745,0.441,0.0871,0.55,8510,Short Term
"005-0154",4R : Rural Minor Arterial,31.539545,-82.464845,2025,5650,Estimated,425,545,0.563,0.671,0.0846,0.54,7120,Short Term
"005-0156",4R : Rural Minor Arterial,31.539861,-82.443723,2025,6940,Estimated,530,456,0.414,0.296,0.0965,0.53,8740,Short Term
"005-0158",4R : Rural Minor Arterial,31.544896,-82.417886,2025,5440,Estimated,527,517,1.169,0.905,0.0966,0.65,6850,Short Term
"005-0161",4R : Rural Minor Arterial,31.544512,-82.383247,2025,3800,Estimated,365,518,0.703,0.649,0.0924,0.54,5980,Short Term
"005-0163",4R : Rural Minor Arterial,31.525785,-82.357612,2025,1330,Estimated,109,269,1.001,1.386,0.0801,0.54,1680,Short Term
"005-0167",4R : Rural Minor Arterial,31.499650,-82.304584,2025,1380,Actual,112,286,0.582,0.727,0.0873,0.5,2530,Short Term
"005-0169",5R : Rural Major Collector,31.560817,-82.536626,2025,1070,Actual,115,75,1.878,0.563,0.1061,0.58,1730,Short Term
"005-0175",5R : Rural Major Collector,31.623116,-82.565189,2025,360,Estimated,56,15,0.838,0,0.1145,0.51,450,Short Term
"005-0179",5R : Rural Major Collector,31.547233,-82.463785,2025,840,Estimated,59,44,,,0.1024,0.55,1060,Short Term
"005-0182",5R : Rural Major Collector,31.547298,-82.475520,2025,1180,Estimated,,,,,0.1089,0.72,1490,Short Term
"005-0184",5R : Rural Major Collector,31.574704,-82.506075,2025,1480,Estimated,,,,,0.1009,0.73,1870,Short Term
"005-0188",5R : Rural Major Collector,31.602671,-82.533078,2025,530,Estimated,52,8,1.149,0,0.1399,0.63,670,Short Term
"005-0192",5R : Rural Major Collector,31.613510,-82.518810,2025,710,Estimated,80,23,1.144,0.286,0.1202,0.63,1040,Short Term
"005-0195",5R : Rural Major Collector,31.630655,-82.522506,2025,540,Actual,,,,,0.0981,0.63,1110,Short Term
"005-0200",5R : Rural Major Collector,31.707598,-82.520452,2025,710,Estimated,,,,,0.0993,0.64,1020,Short Term
"005-0202",3R : Rural Principal Arterial - Other,31.637173,-82.451838,2025,4440,Estimated,320,562,0.439,0.9,0.0877,0.52,5590,Short Term
"005-0204",3R : Rural Principal Arterial - Other,31.645998,-82.444404,2025,4040,Estimated,295,496,0.507,0.584,0.0914,0.53,7050,Short Term
"005-0206",5R : Rural Major Collector,31.542581,-82.438290,2025,970,Estimated,,,,,0.1068,0.58,1220,Short Term
"005-0208",5R : Rural Major Collector,31.557280,-82.441242,2025,790,Estimated,,,,,0.1228,0.74,1110,Short Term
"005-0210",5R : Rural Major Collector,31.573428,-82.423412,2025,530,Estimated,,,,,0.1294,0.67,840,Short Term
"005-0213",5R : Rural Major Collector,31.601221,-82.393127,2025,690,Estimated,,,,,0.1205,0.56,870,Short Term
"005-0215",5R : Rural Major Collector,31.620664,-82.374815,2025,440,Estimated,19,15,0.728,0.728,0.1283,0.57,550,Short Term
"005-0217",5R : Rural Major Collector,31.543534,-82.343268,2025,390,Estimated,20,9,0.515,0.258,0.1211,0.79,490,Short Term
"005-0219",5R : Rural Major Collector,31.536271,-82.278400,2025,420,Actual,43,31,0.723,0.482,0.106,0.64,530,Short Term
"005-0221",6R : Rural Minor Collector,31.497951,-82.366933,2025,110,Actual,5,2,1.77,0.885,0.1504,0.71,140,Short Term
"005-0223",6R : Rural Minor Collector,31.534300,-82.413900,2025,730,Estimated,,,,,0.1035,0.69,980,Short Term
"005-0226",5R : Rural Major Collector,31.482336,-82.354995,2025,810,Estimated,80,74,0.771,0.462,0.1161,0.55,1190,Short Term
"005-0228",5R : Rural Major Collector,31.495022,-82.363130,2025,980,Actual,91,100,1.188,0.713,0.0895,0.52,1240,Short Term
"005-0230",5R : Rural Major Collector,31.522556,-82.367623,2025,750,Actual,74,48,1.594,0.266,0.1235,0.6,950,Short Term
"005-0231",5R : Rural Major Collector,31.565235,-82.339173,2025,1380,Actual,144,202,1.377,0.507,0.0884,0.51,1740,Short Term
"005-0234",5R : Rural Major Collector,31.446368,-82.376793,2025,500,Estimated,,,,,0.1041,0.52,760,Short Term
"005-0236",5R : Rural Major Collector,31.483485,-82.421448,2025,610,Estimated,59,19,0.992,0.331,0.1025,0.52,770,Short Term
"005-0240",5R : Rural Major Collector,31.519791,-82.444542,2025,960,Estimated,,,,,0.0988,0.72,1210,Short Term
"005-0243",5R : Rural Major Collector,31.530948,-82.459261,2025,2260,Estimated,,,,,0.1645,0.53,3620,Short Term
"005-0245",5R : Rural Major Collector,31.538943,-82.468388,2025,4740,Actual,224,163,0.506,0.127,0.0928,0.58,5970,Short Term
"005-0247",5R : Rural Major Collector,31.436147,-82.420546,2025,300,Actual,38,18,0.987,1.316,0.1217,0.62,510,Short Term
"005-0249",5R : Rural Major Collector,31.471673,-82.372316,2025,340,Estimated,38,18,0.898,0.599,0.1497,0.7,430,Short Term
"005-0251",5R : Rural Major Collector,31.545872,-82.468714,2025,1980,Actual,88,24,0.303,0.101,0.0929,0.5,2500,Short Term
"005-0253",5R : Rural Major Collector,31.552375,-82.467050,2025,1390,Actual,114,38,0.729,0.273,0.0825,0.55,1750,Short Term
"005-0255",5R : Rural Major Collector,31.484209,-82.560417,2025,300,Estimated,21,3,0.676,0,0.125,0.68,380,Short Term
"005-0257",5R : Rural Major Collector,31.499344,-82.316045,2025,230,Estimated,,,,,0.1268,0.58,290,Short Term
"005-8003",7R : Rural Local,31.525989,-82.282103,2025,20,Actual,,,,,0.1786,1,30,Short Term
"005-8009",7R : Rural Local,31.574415,-82.607876,2025,260,Estimated,,,,,0.1166,0.8,330,Short Term
"005-8015",7R : Rural Local,31.561693,-82.502365,2025,410,Estimated,,,,,0.1237,0.57,760,Short Term
"005-8023",7R : Rural Local,31.545514,-82.476522,2025,110,Actual,6,1,1.905,0,0.1905,0.6,140,Short Term
"005-8026",6R : Rural Minor Collector,31.460832,-82.454930,2025,400,Estimated,15,13,0.036,0.032,0.1003,0.53,500,Short Term
"005-8027",6R : Rural Minor Collector,31.464608,-82.447898,2025,610,Estimated,39,82,0.75,0.563,0.1108,0.59,770,Short Term
"005-8028",6R : Rural Minor Collector,31.474893,-82.498760,2025,240,Estimated,18,5,2.119,0.424,0.1441,0.56,300,Short Term
"005-8029",6R : Rural Minor Collector,31.493745,-82.499626,2025,370,Estimated,29,24,0.059,0.066,0.128,0.56,550,Short Term
"005-8030",6R : Rural Minor Collector,31.607488,-82.573597,2025,240,Estimated,21,5,0.415,0.415,0.1203,0.52,360,Short Term
"005-8032",7R : Rural Local,31.633431,-82.592481,2025,20,Estimated,2,0,0,0,0.2381,0.6,30,Short Term
