"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-10-31","Spring St Nw and W Peachtree St Nw","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","Spring St Nw","Dry","19:20:00","[""Unknown"",""Unknown""]","Cloudy",0,33.768564,-84.387439,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","10Th St Ne and W Peachtree St Nw","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","W Peachtree St Nw","Dry","17:25:00","[""Unknown"",""Unknown""]","Clear",0,33.781479,-84.387797,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","None and I-85","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Head On","I-85","Wet","00:28:00","[""Unknown"",""Unknown"",""Unknown""]","Rain",0,33.683808,-84.409069,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Driver Lost Control"",""Driver Lost Control""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Campbell St Se and Memorial Dr Se","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Memorial Dr Se","Wet","06:12:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Rain",0,33.747417,-84.324804,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Driver Condition""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-10-31","17Th St and I-7585 N","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-7585 N","Wet","08:15:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.786094,-84.390551,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Changed Lanes Improperly""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Peyton Rd Sw and Martin Luther King Jr Dr Sw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Peyton Rd Sw","Dry","15:15:00","[""Unknown"",""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.752069,-84.468118,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Boulevard Ne and John Lewis Freedom Pkwy Ne","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","John Lewis Freedom Pkwy Ne","Dry","19:07:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.760098,-84.372918,"Atlanta","FULTON","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]",,"[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]"
0,0,"Dekalb Co Police Department","2022-10-31","I 20 and Flat Shoals Rd Rp","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Flat Shoals Rd Rp","Wet","07:30:00","[""Unknown"",""Unknown""]","Cloudy",0,33.728155,-84.324035,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-10-31","Ga-166 and I-75Nb Exit Ramp","(C) Possible Injury / Complaint","Daylight","Entrance/Exit Ramp","Rear End","I-75Nb Exit Ramp","Wet","07:31:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.697041,-84.4034,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","None and I-85","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","I-85","Water (standing or moving)","05:00:00","Lap and Shoulder Belt Used","Rain",0,33.683595,-84.409585,"Atlanta","FULTON","Motor Vehicle in Motion","Too Fast for Conditions","Motor Vehicle in Motion"
